event,step,tokens,tokens_b,loss,perplexity,lr,tokens_per_sec_window,source
train,320,169082880,0.169083,5.9981968998909,,0.0001284,38145.01938869083,
train,330,174366720,0.174367,5.913620814681053,,0.00013240000000000002,38143.3844586605,
train,340,179650560,0.179651,5.881091371178627,,0.0001364,38154.93918255543,
train,350,184934400,0.184934,5.8439105451107025,,0.0001404,38141.250062718194,
train,360,190218240,0.190218,5.813480772078037,,0.0001444,38165.37172320471,
train,370,195502080,0.195502,5.757363870739937,,0.0001484,38150.14285387093,
train,380,200785920,0.200786,5.794279359281063,,0.00015240000000000002,38152.25263016433,
train,390,206069760,0.206070,5.736134424805641,,0.0001564,38148.854470904655,
train,400,211353600,0.211354,5.687273323535919,,0.00016040000000000002,38151.09552124484,
train,410,216637440,0.216637,5.623420961201191,,0.0001644,38147.654492584516,
train,420,221921280,0.221921,5.530777871608734,,0.0001684,38136.440637264495,
train,430,227205120,0.227205,5.507798925042152,,0.00017240000000000002,38155.2243401877,
train,440,232488960,0.232489,5.562433302402496,,0.0001764,38135.77409358782,
train,450,237772800,0.237773,5.419080153107643,,0.00018040000000000002,38147.67077721785,
train,460,243056640,0.243057,5.462589971721172,,0.0001844,38141.28485288799,
train,470,248340480,0.248340,5.392213240265846,,0.0001884,38157.807506780635,
train,480,253624320,0.253624,5.323518052697182,,0.00019240000000000001,38132.748788747944,
train,490,258908160,0.258908,5.349027827382088,,0.0001964,38141.39696956513,
train,500,264192000,0.264192,5.320402666926384,,0.00020040000000000002,38138.27285008795,
eval,500,264192000,0.264192,5.337074369192123,207.90357057348467,,,
train,510,269475840,0.269476,5.282517492771149,,0.0002044,27542.61332251031,
train,520,274759680,0.274760,5.266954727470875,,0.00020840000000000002,38142.03922440412,
train,530,280043520,0.280044,5.117432922124863,,0.0002124,38133.53871413703,
train,540,285327360,0.285327,5.214946649968624,,0.00021640000000000003,38143.96966386591,
train,550,290611200,0.290611,5.126420922577381,,0.00022040000000000002,38141.170242493,
train,560,295895040,0.295895,5.104994602501392,,0.00022440000000000003,38127.28300029495,
train,570,301178880,0.301179,5.1134863421320915,,0.0002284,38140.56484059238,
train,580,306462720,0.306463,5.141905732452869,,0.00023239999999999998,38133.06845558374,
train,590,311746560,0.311747,5.038470320403576,,0.0002364,38139.004852509504,
train,600,317030400,0.317030,5.008582845330238,,0.00024040000000000002,38144.28846842368,
train,610,322314240,0.322314,5.050274915993214,,0.00024440000000000003,36222.628977237255,
train,620,327598080,0.327598,4.983578875660896,,0.0002484,38130.01307452252,
train,630,332881920,0.332882,4.966863237321377,,0.0002524,38124.4884542071,
train,640,338165760,0.338166,4.915770038962364,,0.0002564,38122.9366010902,
train,650,343449600,0.343450,4.925033710896969,,0.00026040000000000004,38126.697454295594,
train,660,348733440,0.348733,4.869929037988186,,0.00026440000000000003,38133.7541301536,
train,670,354017280,0.354017,4.904246710240841,,0.0002684,38133.069964696864,
train,680,359301120,0.359301,4.844994775950909,,0.0002724,38122.83324926121,
train,690,364584960,0.364585,4.8426336124539375,,0.0002764,38130.692997149126,
train,700,369868800,0.369869,4.7988037914037704,,0.0002804,38140.541079140254,
train,710,375152640,0.375153,4.77816092222929,,0.0002844,38123.4870770618,
train,720,380436480,0.380436,4.735964633524418,,0.0002884,38131.61844990647,
train,730,385720320,0.385720,4.741350881755352,,0.0002924,38129.289682890456,
train,740,391004160,0.391004,4.726425260305405,,0.0002964,38123.59679379386,
train,750,396288000,0.396288,4.698998190462589,,0.00030040000000000004,38122.83501987793,
train,760,401571840,0.401572,4.659023508429527,,0.0003044,38126.44971609641,
train,770,406855680,0.406856,4.617342829704285,,0.0003084,38125.23940681257,
train,780,412139520,0.412140,4.598126597702503,,0.0003124,38124.789553135655,
train,790,417423360,0.417423,4.5644188448786736,,0.00031640000000000005,38121.35294007974,
train,800,422707200,0.422707,4.5431846380233765,,0.00032040000000000004,38122.2454136025,
train,810,427991040,0.427991,4.569028668105602,,0.0003244,38121.6097924311,
train,820,433274880,0.433275,4.53356958180666,,0.0003284,38122.38594428477,
train,830,438558720,0.438559,4.551135241985321,,0.0003324,38116.93053401123,
train,840,443842560,0.443843,4.518646538257599,,0.0003364,38121.3080879945,
train,850,449126400,0.449126,4.517115876078606,,0.00034040000000000003,38121.06809178781,
train,860,454410240,0.454410,4.539959259331226,,0.0003444,38120.126037529226,
train,870,459694080,0.459694,4.400962315499783,,0.0003484,38123.369884812404,
train,880,464977920,0.464978,4.398519195616245,,0.0003524,38112.46969712539,
train,890,470261760,0.470262,4.404179498553276,,0.00035640000000000004,38132.09484006071,
train,900,475545600,0.475546,4.41051859408617,,0.00036040000000000003,38123.92234076108,
train,910,480829440,0.480829,4.353704020380974,,0.0003644,38127.884110471685,
train,920,486113280,0.486113,4.337132096290588,,0.0003684,38126.401506892544,
train,930,491397120,0.491397,4.349010296165943,,0.00037240000000000005,38129.23746487773,
train,940,496680960,0.496681,4.335586927831173,,0.0003764,38125.335425942576,
train,950,501964800,0.501965,4.25759632140398,,0.0003804,38126.76619450949,
train,960,507248640,0.507249,4.262423947453499,,0.0003844,38126.193782370436,
train,970,512532480,0.512532,4.202202156186104,,0.0003884,38128.61341821366,
train,980,517816320,0.517816,4.199642725288868,,0.0003924,38116.51830921245,
train,990,523100160,0.523100,4.198934353888035,,0.00039640000000000004,38126.52199733526,
train,1000,528384000,0.528384,4.209593705832958,,0.0004,38119.258840599956,
eval,1000,528384000,0.528384,4.222405079752207,68.19730716953399,,,
train,1010,533667840,0.533668,4.145704880356789,,0.0003999997236379175,32628.08481711249,
train,1020,538951680,0.538952,4.152491733431816,,0.0003999988945525186,38125.26688764805,
train,1030,544235520,0.544236,4.101191826164722,,0.0003999975127463491,38125.56111215453,
train,1040,549519360,0.549519,4.131671391427517,,0.0003999955782236521,38122.50214682607,
train,1050,554803200,0.554803,4.099514067173004,,0.00039999309099036804,38120.669350673124,
train,1060,560087040,0.560087,4.110455229878426,,0.0003999900510541343,38119.37882693548,
train,1070,565370880,0.565371,4.076937519013882,,0.00039998645842428564,38125.352216222636,
train,1080,570654720,0.570655,4.025415524840355,,0.00039998231311185405,38124.873502279865,
train,1090,575938560,0.575939,4.036897420883179,,0.0003999776151295682,38121.31464531032,
train,1100,581222400,0.581222,3.9733668491244316,,0.00039997236449185435,38124.69334000083,
train,1110,586506240,0.586506,4.00467249751091,,0.0003999665612148356,38120.80580430747,
train,1120,591790080,0.591790,4.00359321385622,,0.00039996020531633185,38126.88380119451,
train,1130,597073920,0.597074,3.992380276322365,,0.00039995329681586023,38121.24002318956,
train,1140,602357760,0.602358,3.9482040852308273,,0.00039994583573463457,38121.642972997506,
train,1150,607641600,0.607642,3.979729786515236,,0.00039993782209556556,38122.71501178371,
train,1160,612925440,0.612925,3.9305012598633766,,0.00039992925592326054,38114.73033491388,
train,1170,618209280,0.618209,3.9015046879649162,,0.00039992013724402355,38124.44110255398,
train,1180,623493120,0.623493,3.8469800800085068,,0.0003999104660858553,38121.8328115384,
train,1190,628776960,0.628777,3.912855952978134,,0.00039990024247845286,38124.62605012149,
train,1200,634060800,0.634061,3.9049060195684433,,0.00039988946645320983,38120.50680098244,
train,1210,639344640,0.639345,3.8929602578282356,,0.00039987813804321596,38120.82173816893,
train,1220,644628480,0.644628,3.8618031591176987,,0.00039986625728325733,34724.87582095906,
train,1230,649912320,0.649912,3.885922610759735,,0.00039985382420981605,38119.06653620706,
train,1240,655196160,0.655196,3.8077195435762405,,0.0003998408388610702,38136.38347778637,
train,1250,660480000,0.660480,3.8358375057578087,,0.00039982730127689385,38128.902249634404,
train,1260,665763840,0.665764,3.843708284199238,,0.0003998132114988566,38129.72789999046,
train,1270,671047680,0.671048,3.8368304446339607,,0.0003997985695702239,38126.254387586036,
train,1280,676331520,0.676332,3.9062870740890503,,0.00039978337553595657,38122.53375508908,
train,1290,681615360,0.681615,3.8605438247323036,,0.00039976762944271066,38126.037482146276,
train,1300,686899200,0.686899,3.7827706560492516,,0.00039975133133883766,38124.191557350336,
train,1310,692183040,0.692183,3.78397049754858,,0.00039973448127438396,38123.10251604846,
train,1320,697466880,0.697467,3.805711306631565,,0.0003997170793010908,38122.486408291414,
train,1330,702750720,0.702751,3.796607106924057,,0.0003996991254723943,38132.29633023725,
train,1340,708034560,0.708035,3.755697898566723,,0.00039968061984342514,38125.24288290652,
train,1350,713318400,0.713318,3.785220980644226,,0.00039966156247100835,38125.60643336377,
train,1360,718602240,0.718602,3.775022067129612,,0.0003996419534136631,38122.40633869759,
train,1370,723886080,0.723886,3.746785670518875,,0.00039962179273160287,38122.622612623796,
train,1380,729169920,0.729170,3.6867398396134377,,0.00039960108048673487,38120.85026178135,
train,1390,734453760,0.734454,3.73532647639513,,0.0003995798167426598,38119.36079615377,
train,1400,739737600,0.739738,3.734496586024761,,0.0003995580015646721,38128.93340931559,
train,1410,745021440,0.745021,3.77070115506649,,0.00039953563501975956,37882.73583235155,
train,1420,750305280,0.750305,3.6993070989847183,,0.00039951271717660275,38074.42554142115,
train,1430,755589120,0.755589,3.694105803966522,,0.0003994892481055753,38080.88325475438,
train,1440,760872960,0.760873,3.7167493030428886,,0.00039946522787874343,38093.19971917434,
train,1450,766156800,0.766157,3.683367908000946,,0.00039944065656986584,38111.13673541375,
train,1460,771440640,0.771441,3.670705206692219,,0.0003994155342543934,38086.01424507725,
train,1470,776724480,0.776724,3.675947353243828,,0.00039938986100946885,38081.04599018002,
train,1480,782008320,0.782008,3.6849125176668167,,0.0003993636369139269,38082.84906351799,
train,1490,787292160,0.787292,3.6463661566376686,,0.0003993368620482935,38110.27636987648,
train,1500,792576000,0.792576,3.6170540526509285,,0.000399309536494786,38092.616070746386,
eval,1500,792576000,0.792576,3.685427140444517,39.862145548544625,,,
train,1510,797859840,0.797860,3.689535468816757,,0.00039928166033731274,32883.00493110841,
train,1520,803143680,0.803144,3.69927741587162,,0.00039925323366147273,38112.515446015794,
train,1530,808427520,0.808428,3.6768962740898132,,0.0003992242565545555,38100.8701309793,
train,1540,813711360,0.813711,3.6211375892162323,,0.00039919472910554066,38105.64510137217,
train,1550,818995200,0.818995,3.591164417564869,,0.00039916465140509786,38113.89523958876,
train,1560,824279040,0.824279,3.650051958858967,,0.0003991340235455865,38112.97418630574,
train,1570,829562880,0.829563,3.613533303141594,,0.00039910284562105514,38110.8808106187,
train,1580,834846720,0.834847,3.6056778505444527,,0.00039907111772724156,38115.7471161506,
train,1590,840130560,0.840131,3.6133899986743927,,0.00039903883996157224,38106.029048183955,
train,1600,845414400,0.845414,3.645384393632412,,0.0003990060124231622,38115.808802580636,
