attn_implementation,compile,elapsed_sec,event,grad_accumulation_steps,gradient_checkpointing,liger_applied,liger_kernel,loss,max_memory_allocated_gb,max_memory_reserved_gb,measure_steps,micro_batch_size,source_file,step_time_sec,tokens,tokens_per_sec,variant,warmup_loss
sdpa,True,6.671134765625,benchmark_result,1,False,True,True,12.592195129394531,25.049739837646484,25.26171875,10,16,docs/l20_speed_benchmark_2k_20260615.jsonl,0.6671134765625,327680,49119.07966369805,sdpa+liger+compile:16,12.609636624654135
sdpa,True,5.03373828125,benchmark_result,1,False,True,True,12.585673332214355,18.977893829345703,19.251953125,10,12,docs/l20_speed_benchmark_2k_20260615.jsonl,0.503373828125,245760,48822.56213347902,sdpa+liger+compile:12,12.602801958719889
sdpa,False,6.97717236328125,benchmark_result,1,False,True,True,12.58144645690918,21.798030853271484,22.0,10,16,docs/l20_speed_benchmark_2k_20260615.jsonl,0.697717236328125,327680,46964.584352893566,sdpa+liger:16,12.599013010660807
sdpa,False,8.75688671875,benchmark_result,1,False,True,True,12.602475261688232,26.991031646728516,27.158203125,10,20,docs/l20_speed_benchmark_2k_20260615.jsonl,0.875688671875,409600,46774.614444078165,sdpa+liger:20,12.619546254475912
sdpa,False,5.30153076171875,benchmark_result,1,False,True,True,12.602887630462646,16.605030059814453,16.728515625,10,12,docs/l20_speed_benchmark_2k_20260615.jsonl,0.530153076171875,245760,46356.42252131814,sdpa+liger:12,12.620667775472006
sdpa,True,9.589400390625,benchmark_result,1,False,True,True,12.592428874969482,28.800228118896484,29.03125,10,8,docs/l20_speed_benchmark_4k.jsonl,0.9589400390625,327680,34171.06249107647,sdpa+liger+compile:8,12.612130800882975
sdpa,True,12.0265732421875,benchmark_result,1,False,True,True,12.589043617248535,35.73957014083862,36.064453125,10,10,docs/l20_speed_benchmark_4k.jsonl,1.20265732421875,409600,34057.91423305699,sdpa+liger+compile:10,12.607915242513021
sdpa,False,14.6368427734375,benchmark_result,1,False,True,True,12.59356918334961,37.85639572143555,38.1171875,10,12,docs/l20_speed_benchmark_4k.jsonl,1.46368427734375,491520,33581.012490753514,sdpa+liger:12,12.613091786702475
sdpa,False,9.901751953125,benchmark_result,1,False,True,True,12.56148386001587,25.548519134521484,25.75,10,8,docs/l20_speed_benchmark_4k.jsonl,0.9901751953125,327680,33093.13357386053,sdpa+liger:8,12.581105868021647
sdpa,False,12.388982421875,benchmark_result,1,False,True,True,12.577978992462159,31.679019927978516,31.806640625,10,10,docs/l20_speed_benchmark_4k.jsonl,1.2388982421874999,409600,33061.63380107609,sdpa+liger:10,12.597278594970703
sdpa,False,7.50428173828125,benchmark_result,1,False,True,True,12.565144443511963,19.418018341064453,19.5625,10,6,docs/l20_speed_benchmark_4k.jsonl,0.750428173828125,245760,32749.303473817585,sdpa+liger:6,12.584766705830893
,True,4.77353369140625,benchmark_result,1,False,True,True,12.505493799845377,36.301204681396484,36.5703125,3,4,logs/stage4_speed_benchmark_compile.jsonl,1.5911778971354167,98304,20593.549004791945,liger+compile:4,12.513105392456055
,False,4.87237109375,benchmark_result,1,False,True,True,12.49180793762207,33.049495697021484,33.2109375,3,4,logs/stage4_speed_benchmark_earlystop.jsonl,1.6241236979166667,98304,20175.803137429077,liger:4,12.499496459960938
sdpa,False,9.7549453125,benchmark_result,1,False,True,True,12.469688733418783,33.057857513427734,33.46875,6,4,docs/l20_pretrain_flash_benchmark.jsonl,1.62582421875,196608,20154.700380335933,sdpa+liger:4,12.482927322387695
,False,6.1291845703125,benchmark_result,1,False,True,True,12.496040344238281,41.064998149871826,41.279296875,3,5,logs/stage4_speed_benchmark_earlystop.jsonl,2.0430615234375,122880,20048.343884957423,liger:5,12.503023147583008
,False,9.1645478515625,benchmark_result,1,True,True,True,12.503073692321777,4.571012020111084,4.775390625,3,6,logs/stage4_speed_benchmark_earlystop.jsonl,3.0548492838541663,147456,16089.828149553461,ckpt+liger:6,12.510135650634766
,False,10.7800888671875,benchmark_result,1,True,True,True,12.504169146219889,5.195493221282959,5.458984375,3,7,logs/stage4_speed_benchmark_earlystop.jsonl,3.5933629557291664,172032,15958.310002771132,ckpt+liger:7,12.511046409606934
