attn_implementation,base_model,block_size,compile,compile_mode,device,dtype,event,flops_per_token_estimate,init_model_name_or_path,liger_kernel,loss,lr,mfu,mfu_pct,mfu_peak_tflops,packing,parameters,path,peak_memory_gb,perplexity,planned_tokens,rope_scaling,run_group,run_name,sequences,sequences_per_step,source_file,start_step,step,step_time_sec_window,steps_per_sec_window,supervised_tokens,supervised_tokens_per_sec_window,tokens,tokens_per_sec_window,tokens_per_step,train_on_prompt
,,,,,,,train,,,,2.9634958058595657,5.093333333333333e-06,0.5043377407625971,50.43377407625971,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,190,10.715385842323304,,,,99614720,48928.52275362622,,
,,,,,,,train,,,,2.9571603387594223,5.36e-06,0.5046831875961446,50.46831875961446,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,200,10.708051347732544,,,,104857600,48962.03641300424,,
,,,,,,,train,,,,3.023549497127533,5.6266666666666664e-06,0.5041817665042921,50.41817665042922,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,210,10.718700766563416,,,,110100480,48913.39085008294,,
,,,,,,,train,,,,3.0026333183050156,5.893333333333333e-06,0.5044784761096983,50.44784761096983,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,220,10.712396550178529,,,,115343360,48942.176248251606,,
,,,,,,,train,,,,2.922924041748047,6.1599999999999995e-06,0.5043443952433583,50.43443952433583,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,230,10.715244460105897,,,,120586240,48929.16834067438,,
,,,,,,,train,,,,2.9675863087177277,6.426666666666666e-06,0.5041551813746112,50.41551813746112,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,240,10.719265985488892,,,,125829120,48910.811683351276,,
,,,,,,,train,,,,2.946698248386383,6.693333333333333e-06,0.5040789739491747,50.40789739491747,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,250,10.720886540412902,,,,131072000,48903.41839023022,,
,,,,,,,eval,,,,2.9101873859763145,,,,,,,,,18.360238695945306,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,250,,,,,,,,
,,,,,,,train,,,,2.9671054780483246,6.9599999999999994e-06,0.3740837990206355,37.40837990206355,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,260,14.446424841880798,,,,136314880,36291.885759864046,,
,,,,,,,train,,,,3.0215669870376587,7.226666666666666e-06,0.5041855525929829,50.418555259298294,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,270,10.71862027645111,,,,141557760,48913.75815895491,,
,,,,,,,train,,,,2.954745128750801,7.4933333333333325e-06,0.5042118852015941,50.42118852015941,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,280,10.718060493469238,,,,146800640,48916.31282725646,,
,,,,,,,train,,,,2.9829692244529724,7.76e-06,0.5040333351970234,50.40333351970234,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,290,10.721857285499572,,,,152043520,48898.990728878314,,
,,,,,,,train,,,,2.9832772314548492,8e-06,0.5042327601138693,50.42327601138693,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,300,10.717616772651672,,,,157286400,48918.33801501792,,
