six_task_mean,variant
0.41497374066229775,stage4-sft-a0875
0.4146470546902062,stage4-sft-a0500
0.4140718995959383,stage4-base
0.41384465201386794,stage4-sft-a0250
0.413741165906001,stage4-sft-full
0.41332229017227656,stage4-sft-a0750
